P url,Title,Price,Description,ingredients
https://uk.iherb.com/pr/mommy-s-bliss-baby-gas-relief-simethicone-drops-newborn-1-fl-oz-30-ml/79278,"Mommy's Bliss, Baby Gas Relief, Simethicone Drops, Newborn+, 1 fl oz (30 ml)",11.63,Relieves Stomach Discomfort from GasSafe & GentleWorks QuicklyFree of Dyes & Parabens100 DosesEasy Dose SyringeNatural Ginger FlavorFast Acting Works in MinutesNo Refrigeration NeededNo ParabensNo Artificial Flavors or ColorsWomen Owned and LedGas relief drops are safe and effective for easing stomach discomfort caused by gas. Our Gas Relief Simethicone Drops are safe enough to use after every feeding when used as directed.Uses: Relieves the discomfort of infant gas frequently caused by air swallowing or certain formulas or foods. ,"Active Ingredient (in each 0.3 mL)PurposeSimethicone 20 mgAntigasInactive ingredients: Carboxymethylcellulose sodium, citric acid, ginger extract, microcrystalline cellulose, polysorbate 60, potassium sorbate, purified water, sodium benzoate, sorbitan monostearate, sorbitol, stevia extract, xanthan gum.Free of the top 8 allergens: No peanuts, no wheat, no eggs, no shellfish, no tree nuts, no fish, no soy, no milk."
https://uk.iherb.com/pr/innovixlabs-multi-strain-probiotic-50-billion-60-capsules/94913,"InnovixLabs, Multi-Strain Probiotic, 50 Billion, 60 Capsules",28.77,"50 Billion†31 Probiotic StrainsSupports Immune and Gut HealthProbiotic Plus Prebiotic FiberStomach Acid Resistant CapsulesDietary SupplementProbiotic + Prebiotic FiberWide Variety of Probiotic Strains + Prebiotic fiberA healthy gut has a diverse assortment of bacteria. So should your probiotic.A high-diversity probiotic can help restore the natural diversity of your gut flora that’s lost to stress, poor diet, and medications.Stomach Acid ResistanceAbout 90% of probiotics are killed by stomach acid. This product uses acid-resistant capsules to protect the bacteria. This delivers virtually all cultures into the intestines intact, where they can repopulate the gut.†At time of manufacture. 5 billion guaranteed at time of expiration when stored as recommended.","Rice dextrin, vegetable capsule (hypromellose, pectin, purified water), medium chain triglycerides (mct), silica.Does not contain: Eggs, fish, shellfish, peanuts, soy, sugar, GMO, artificial colors or flavors.Allergens: May contain trace amounts of barley, corn and yeast used in the fermentation process. Individuals extremely sensitive to these ingredients should consult a physician prior to using this product."
https://uk.iherb.com/pr/g9skin-white-in-milk-toner-300-ml/80117,"G9skin, White In Milk Toner, 300 ml",12.44," WhiteningToner contains milk protein extracts and ceramide for whitening, anti-wrinkle and moisturizing effects.","Water, glycerin, methylpropanediol, niacinamide, peg-32, dipropylene glycol, milk protein extract (10000ppm), bis-peg-18 methyl ether dimethyl silane, prunus amygdalus dulcis (sweet almond) oil, macadamia ternifolia seed oil, ceteareth-6 olivate, decylene glycol, cyclopentasil oxane, hexylene glycol, ethylhexylglycerin, tromethamine, carbomer, totarol, butylene glycol, fragrance, adenosine, dimethiconol, chondrus crispus (carrageenan), salvia hispanica seed extract, origanum vulgare leaf extract, linum usitatissimum (linseed) seed extract, hibiscus sabdariffa flower extract, hedera helix (ivy) leaf extract, eucalyptus globulus leaf extract, camellia sinensis leaf extract, nelumbo nucifera flower water, pinus sylvestris leaf extract, sodium hyaluronate, royal jelly extract, rice ferment filtrate (sake), hamamelis virginiana (witch hazel) leaf extract, galactomyces ferment filtrate, fructan, bacillus/soybean ferment extract, anthemis nobilis flower extract, lilium candidum bulb extract, iris versicolor extract, freesia alba flower extract, rosa damascena flower water, nelumbo nucifera flower extract, narcissus pseudo-narcissus (daffodil) flower extract, leontopodium alpinum extract, jasminum officinale (jasmine) flower/leaf extract, retinyl palmitate, biotin, ceramide np, hydrogenated lecithin, maltodextrin, calcium pantothenate, sodium starch octenylsuccinate, glycereth-20, sodium ascorbyl phosphate, peg-10 rapeseed sterol, glyceryl stearate, hydroxypropyl cylcodextrin, tocopherol acetate, pyridoxine hcl, glutathione, silica."
https://uk.iherb.com/pr/e-l-f-lip-plumping-gloss-mocha-twist-0-09-oz-2-7-g/84819,"E.L.F., Lip Plumping Gloss, Mocha Twist, 0.09 oz (2.7 g)",7.48,"Cruelty Free and VeganThis sheer Gloss helps plump the lips with nourishing hydration. The invigorating high-shine formula provides a soothing sensation while it volumizes. Enriched with Vitamin E and Coconut Oil to nourish and hydrate the lips for a soft, supple feel. The natural shades of shimmering, color add a pop to your look that perfect for work days and a night out.","Polybutene, pentaerythrityl tetraethylhexanoate, hydrogenated polyisobutene, octyldodecanol, microcrystalline wax (cera microcristallina), silica dimethyl silylate, tridecyl trimellitate, ethylhexyl palmitate, caprylic/capric triglyceride, menthyl lactate, menthol, phenoxyethanol, fragrance (parfum), caprylyl glycol, diisostearyl malate, cocos nucifera (coconut) oil, tocopheryl acetate (ve), vp/hexadecene copolymer, vanillyl butyl ether.May contain: Mica (ci 77019), titanium dioxide (ci 77891), iron oxides (ci 77491, ci 77492, ci 77499), yellow 5 lake (ci 19140), red 27 lake (ci 45410), blue 1 lake (ci 42090), red 7 lake (ci 15850)."
https://uk.iherb.com/pr/solgar-advanced-multi-billion-dophilus-60-vegetable-capsules/14215,"Solgar, Advanced Multi-Billion Dophilus, 60 Vegetable Capsules",21.64,"Since 1947Enhanced Series5 Billion Microorganisms Per ServingNon-GMO100% Dairy, Lactose and Milk FreeContains No CaseinSupports a Healthy Immune SystemSuitable for VegansRefrigeration OptionalDietary SupplementSolgar® Advanced Multi-Billion Dophilus® Vegetable Capsules are a source of Lactobacillus acidophilus, Bifidobacterium lactis, Lactobacillus paracasei and Lactobacillus rhamnosus, beneficial microorganisms that provide friendly bacteria for the digestive system. This product is formulated with the well-known strains LA-5®, BB-12®, L. casei 431® and LGG® and promotes the healthy functioning of the intestinal system. Additionally, this product supports a healthy immune system.","Maltodextrin, vegetable cellulose, microcrystalline cellulose, sodium alginate, silica, vegetable magnesium stearate.Contains no major allergens.Free of: Gluten, wheat, dairy, soy, yeast, sugar, artificial flavor, sweetener and color."
https://uk.iherb.com/pr/the-spice-lab-organic-parsley-flakes-0-5-oz-14-g/112392,"The Spice Lab, Organic Parsley Flakes, 0.5 oz (14 g)",5.34,"USDA Organic KosherNatural Certified Organic by Americert InternationalDried parsley is widely used in Middle Eastern, European and American cooking. It brings out the flavors of other seasonings.",Organic parsley.
https://uk.iherb.com/pr/country-life-high-potency-biotin-5-mg-120-vegan-capsules/6388,"Country Life, High Potency Biotin, 5 mg, 120 Vegan Capsules",21.09,"Established 1971Certified Gluten-FreeNon GMO Project VerifiedA Vitamin Supplement for Healthy Hair, Scalp and NailsDietary Supplement Kosher Parve — Our Pledge of Integrity —AuthenticityCleanlinessFreshnessConsistencyAccuracyBiotin is a water soluble B Vitamin that supports the formation of keratin, a building block for skin, hair and nails. Biotin also supports energy metabolism.YESCertified Gluten-Free by GFCO.orgNOYeast, Wheat or CornYESNon-GMO Project Verified NOSoy or MilkYESCertified Vegan by the AVANOSalt or SugarYESRecyclable PackagingNOPreservativesYESManufacturing Supports Wind PowerNOArtificial Colors, Flavors or SweetenersYESKosher-ParveNOMagnesium StearateThis product has been manufactured at a GMP Registered facility.","Cellulose, cellulose (capsule shell)."
https://uk.iherb.com/pr/eclectic-institute-california-poppy-2-fl-oz-60-ml/2819,"Eclectic Institute, California Poppy, 2 fl oz (60 ml)",23.0,Eclectic HerbHerbal ExtractDietary SupplementUSDA Organic100% KosherSoy FreeNon GMOUS GrownGluten FreeCertified Organic by Oregon Tilth,"Fresh organic california poppy (Eschscholzia californica) whole plant, organic grain-free alcohol content: 55-65%, filtered water. Fresh herb strength 1:2 (500 mg/ml)."
https://uk.iherb.com/pr/gimme-sushi-nori-roasted-seaweed-0-81-oz-23-g/103408,"gimMe, Sushi Nori, Roasted Seaweed, 0.81 oz (23 g)",4.55,"Non GMO Project Verified USDA Organic Certified Gluten Free Great for Making Restaurant-Style Hand and Sushi Rolls Superfood Seaweed#1 Organic Seaweed Brand Certified Organic By: Quality Assurance International, Inc.VegangimMe was the first to bring the world USDA Organic, non-GMO branded seaweed.","Organic seaweed. Made on shared equipment that also processes soy, sesame and sunflower oil."
https://uk.iherb.com/pr/now-foods-gaba-750-mg-200-veg-capsules/78205,"NOW Foods, GABA, 750 mg, 200 Veg Capsules",24.87, Neurotransmitter Support Gamma-Aminobutyric Acid Non-GMO A Dietary Supplement Vegetarian - Vegan Kosher Amino Acids Family Owned Since 1968 GMP Quality AssuredGABA (gamma-aminobutyric acid) is a non-protein amino acid that functions as a neurotransmitter in the human brain. GABA is naturally produced  in the body and its presence within the central nervous system may help promote relaxation and ease nervous tension.,"Hypromellose (cellulose capsule), silicon dioxide, stearic acid (vegetable source) and microcrystalline cellulose.Not manufactured with wheat, gluten, soy, corn, milk, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens."
